台灣彩券(佰面贏投注站)	花蓮縣新城鄉新興路33號
台灣彩券(好彩頭彩券行)	台東縣台東市中興路四段448號
台灣彩券(銓祐商行)	台北市文山區木新路三段196號
台灣彩券(連華彩券行)	台北市萬華區梧州街23號
台灣彩券(鑫尚億商行)	新北市淡水區沙崙路143之8號
台灣彩券(金吉利彩券行)	花蓮縣瑞穗鄉中正北路一段72號
台灣彩券(財旺彩券行)	新竹市香山區內湖路55號
台灣彩券(一路發商行)	宜蘭縣宜蘭市復興路一段62號
台灣彩券(清雲彩券行)	新北市板橋區長江路三段134號
東金電腦彩券投注站	高雄市鳳山區光復路222號
台灣彩券(泰豐彩券行)	台中市大里區中興路二段263號
台灣彩券(興隆彩券行)	高雄市苓雅區林森二路126號
台灣彩券(秀玲商行)	台北市內湖區行善路25巷1弄1號
運動彩券(弘發行)	新北市新莊區建福路63號
運動彩券(富豪彩券商行)	基隆市仁愛區仁三路67號
台灣彩券(添旺彩券行)	新北市三重區大勇街31號
運動彩券(連勝運動彩券行)	台中市烏日區溪南路一段156號
台灣彩券(順良商行)	台北市萬華區康定路223號
台灣彩券(新富發投注站)	桃園市平鎮區中豐路220號
台灣彩券(發發發彩券行)	屏東縣新園鄉南興路245號
台灣彩券(保利金商行)	桃園市中壢區新生路295號
台灣彩券(錦發彩券行)	台中市西屯區青海路一段81之1號
台灣彩券(富彩彩券行)	嘉義市西區興業西路69號
運動彩券(一指旺運動彩券行)	高雄市苓雅區建國一路129之1號
台灣彩券(吉利公益彩券行)	台中市北屯區中清路112之106號
台灣彩券(萬利彩券行)	台中市后里區福音路112號
台灣彩券(錸盛企業行)	高雄市林園區東林西路171號
台灣彩券(得旺投注站)	高雄市左營區民族一路951號
台灣彩券(營上億企業社)	台北市信義區永吉路217號
台灣彩券(珍多寶商行)	新北市新莊區中平路82巷10號
台灣彩券(強頂彩券行)	雲林縣莿桐鄉中山路81號
台灣彩券(林口之星彩券行)	新北市林口區麗園二街2號
台灣彩券(旺來發彩券行)	台北市萬華區武昌街二段100號
台灣彩券(玖旺彩券行)	基隆市中正區新豐街308號
台灣彩券(聖益彩券行)	台中市北區西屯路一段468號
台灣彩券(富定發彩券行)	新北市三重區五華街282號
運動彩券(博楹運動彩券行)	高雄市大樹區中興街王爺巷38之1號
台灣彩券(采財彩券行)	台南市永康區華興街140號
台灣彩券(馬烈彩券行)	新北市土城區裕生路12號
台灣彩券(海埔厝彩券商行)	台中市龍井區中央路一段102號
台灣彩券(易中投注站)	桃園市桃園區春日路1593號
台灣彩券(巧而富彩券行)	台中市東區十甲東路495號
運動彩券(鴻不讓運動彩券行)	新北市新莊區新泰路281號
台灣彩券(見金彩券行)	台南市新化區中正路537號
